Sex,Education,Marriage,Age,Credit_Limit,Current_Bill,Prev_Bill1,Prev_Bill2,Prev_Bill3,Prev_Bill4,Prev_Bill5,Paid_Amt1,Paid_Amt2,Paid_Amt3,Paid_Amt4,Paid_Amt5,Unpaid1,Unpaid2,Unpaid3,Unpaid4,Unpaid5,Default
Female,Graduate,Single,27,150000,7310,4756,1919,8144,2969,8642,4756,1919,8144,2969,8642,0,0,0,0,0,0
Female,University,Single,21,20000,21003,20260,9686,0,6884,0,39,0,5000,13749,0,20221,9686,-5000,-6865,0,1
Female,Graduate,Married,39,190000,171462,163148,165281,173231,132145,146854,0,10000,15000,10091,20000,163148,155281,158231,122054,126854,1
Male,Graduate,Married,46,250000,5379,992,12738,2310,0,0,0,12738,2310,0,0,992,0,0,0,0,0
Male,Graduate,Married,32,380000,53369,73954,35199,31136,28839,14584,30307,5044,5036,5081,2022,43647,30155,26100,23758,12562,0
Female,University,Single,28,330000,255834,258822,254855,258220,256058,256840,9425,9000,9174,9590,9500,249397,245855,249046,246468,247340,0
Female,University,Single,31,50000,45861,47667,48119,8257,8037,9470,3687,5000,1000,309,2000,43980,43119,7257,7728,7470,0
Female,Graduate,Single,31,140000,41314,42377,43923,43051,44109,43253,1732,2278,3000,1892,0,40645,41645,40051,42217,43253,0
Female,University,Single,50,20000,5065,4840,6100,5856,6432,6182,0,1500,0,822,0,4840,4600,5856,5610,6182,1
Female,Graduate,Single,28,70000,53690,54374,47762,44487,45618,46706,2208,1800,2000,2000,2000,52166,45962,42487,43618,44706,0
Female,Graduate,Single,31,160000,160843,153543,157871,143690,134386,138038,6000,7225,5000,5000,5900,147543,150646,138690,129386,132138,0
Female,University,Married,34,240000,6170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,Graduate,Single,27,300000,3102,1499,318,2488,187,607,1506,319,2488,187,607,-7,-1,0,0,0,0
Male,University,Single,28,70000,24510,25807,26578,27826,29712,30563,2000,1500,2000,2500,1500,23807,25078,25826,27212,29063,0
Female,University,Married,28,30000,11692,14505,17262,16690,17763,18960,3000,3000,0,1500,1500,11505,14262,16690,16263,17460,1
Female,Graduate,Single,32,390000,22008,23645,24947,26223,27643,29025,2000,2000,2000,2000,2000,21645,22947,24223,25643,27025,0
Female,University,Single,40,20000,6689,7723,8730,8936,8994,9244,1300,1294,500,350,400,6423,7436,8436,8644,8844,0
Female,Graduate,Married,44,330000,234447,202747,180566,182604,186415,190303,8903,7903,6418,6633,6852,193844,172663,176186,179782,183451,0
Female,Graduate,Single,29,420000,4406,4595,-13,2666,1614,6066,4205,5000,2679,1622,6080,390,-5013,-13,-8,-14,0
Male,Graduate,Married,63,200000,316,316,316,316,316,316,316,316,316,316,316,0,0,0,0,0,0
Male,University,Single,29,70000,61762,70242,68107,42630,12927,27184,9500,0,0,1570,15184,60742,68107,42630,11357,12000,1
Female,University,Married,40,180000,20831,1537,-43,-43,-43,-43,1000,0,0,0,0,537,-43,-43,-43,-43,0
Female,High School,Other,55,260000,185441,190942,194161,197287,172561,165409,10000,8000,7150,7057,7396,180942,186161,190137,165504,158013,0
Female,High School,Single,25,80000,571,3948,4695,390,1289,935,3952,4695,390,1289,935,-4,0,0,0,0,0
Female,Graduate,Single,32,250000,165,165,165,165,165,315,165,165,165,165,315,0,0,0,0,0,0
Male,Graduate,Single,29,140000,137708,140804,137635,97928,99634,101020,5730,5200,3100,3200,3400,135074,132435,94828,96434,97620,0
Female,University,Single,24,40000,36890,36023,36993,38427,39875,39272,0,1989,2423,2000,0,36023,35004,36004,37875,39272,1
Female,University,Married,36,50000,27433,12916,6509,4417,0,4331,1161,1000,5254,4166,8497,11755,5509,-837,-4166,-4166,0
Female,University,Married,37,210000,162518,138078,134428,129871,131091,118405,8006,7009,5000,5000,17137,130072,127419,124871,126091,101268,0
Female,University,Married,33,180000,30781,31202,31188,32979,22526,13338,2000,1408,2979,2526,13338,29202,29780,30000,20000,0,0
Male,University,Single,45,50000,46090,48343,50157,18675,18542,17129,3000,3000,1008,1000,1000,45343,47157,17667,17542,16129,0
Female,University,Single,54,320000,156238,156087,153054,79107,70043,71724,10000,10000,10000,2500,3000,146087,143054,69107,67543,68724,0
Male,Graduate,Married,41,230000,9360,9650,0,0,0,0,9650,0,0,0,0,0,0,0,0,0,0
Female,University,Married,40,160000,671,671,671,671,671,1492,671,671,671,671,1492,0,0,0,0,0,0
Male,University,Single,25,110000,99353,90517,78484,74652,75251,75643,3500,3500,3000,3000,2870,87017,74984,71652,72251,72773,0
Female,High School,Married,39,250000,18376,20070,21428,22757,24382,28768,2000,2000,2000,2000,5000,18070,19428,20757,22382,23768,0
Female,Other,Single,37,20000,6725,7843,10600,18660,7060,0,2000,3000,8060,0,0,5843,7600,10600,7060,0,0
Female,Graduate,Single,28,170000,12324,13467,14394,15249,15999,16753,1350,1158,1100,1000,1025,12117,13236,14149,14999,15728,0
Male,High School,Married,32,140000,140456,125288,117263,77496,79815,77911,5200,5006,5000,5000,3000,120088,112257,72496,74815,74911,0
Female,University,Married,42,60000,56166,58022,61331,55566,59331,60569,2760,4941,0,4675,2361,55262,56390,55566,54656,58208,1
Male,Graduate,Single,24,20000,10283,0,750,0,0,0,0,750,0,0,0,0,0,0,0,0,1
Male,University,Married,53,80000,66484,59837,53367,48154,43214,44229,2731,2058,1700,1565,1730,57106,51309,46454,41649,42499,0
Male,High School,Single,34,60000,58501,59225,59592,58654,58664,59323,2300,2578,2039,2088,2767,56925,57014,56615,56576,56556,0
Female,Other,Married,35,210000,84018,23953,0,0,0,239,2000,0,0,0,239,21953,0,0,0,0,0
Male,University,Single,27,320000,319069,323319,298072,180882,175560,131390,12661,11157,5730,5904,5890,310658,286915,175152,169656,125500,0
Female,High School,Married,55,50000,37234,37942,38003,11625,18442,9743,1963,2025,562,339,1200,35979,35978,11063,18103,8543,0
Male,University,Other,37,10000,8634,3192,1352,13352,0,0,1000,676,6000,120,0,2192,676,7352,-120,0,0
Male,University,Single,51,50000,48726,49050,49584,19791,18518,19078,2100,1600,700,670,866,46950,47984,19091,17848,18212,1
Female,University,Married,33,140000,133094,132777,131672,133496,128509,124035,5005,4603,5002,4505,4400,127772,127069,128494,124004,119635,0
Female,University,Married,38,50000,588,588,926,643,643,643,588,926,643,643,643,0,0,0,0,0,0
Male,University,Married,36,80000,600,600,600,600,300,150,0,0,0,0,0,600,600,600,300,150,1
Female,Graduate,Married,36,300000,272899,254078,252427,254160,250645,245851,9251,10505,9157,9319,9600,244827,241922,245003,241326,236251,0
Female,Graduate,Single,33,520000,485298,499489,413019,168770,168964,191188,22000,18300,26500,30000,27000,477489,394719,142270,138964,164188,1
Female,University,Other,57,200000,79761,79515,80592,86216,88071,90842,3500,3000,7000,3400,4400,76015,77592,79216,84671,86442,0
Female,University,Married,35,200000,0,0,5825,0,3217,8273,0,5825,0,3217,8273,0,0,0,0,0,0
Female,University,Married,44,60000,56970,58848,20641,22229,24708,27255,3000,2000,2229,3000,3000,55848,18641,20000,21708,24255,0
Female,University,Married,42,180000,102449,104807,111048,107782,110879,113666,5500,9500,0,5000,5000,99307,101548,107782,105879,108666,0
Female,University,Single,24,120000,32317,33496,34481,30102,30220,33523,2000,2000,2000,3000,6000,31496,32481,28102,27220,27523,0
Male,University,Married,47,50000,49032,48764,49521,48830,49728,50146,2599,2556,1665,1600,1800,46165,46965,47165,48128,48346,0
Male,Graduate,Single,33,20000,17593,38478,19703,19697,17303,1554,1472,1400,394,346,31,37006,18303,19303,16957,1523,0
Male,University,Single,27,10000,16944,8261,9252,9590,10129,8932,2296,1139,477,830,0,5965,8113,9113,9299,8932,1
Male,Graduate,Single,34,520000,9568,8211,6850,13178,17059,17528,5014,5010,13009,10035,10007,3197,1840,169,7024,7521,0
Female,Graduate,Married,33,500000,125,-18088,1664089,121757,97115,377217,4366,1684259,121831,97670,379267,-22454,-20170,-74,-555,-2050,0
Male,University,Single,24,50000,50244,17987,18973,19369,19769,19385,1400,1301,700,700,700,16587,17672,18669,19069,18685,0
Female,University,Married,29,200000,61518,66541,53862,37056,19790,20842,25138,2569,793,49,15085,41403,51293,36263,19741,5757,0
Female,Graduate,Single,36,360000,-8,2379,0,11850,150,459,2387,0,11850,300,459,-8,0,0,-150,0,0
Female,Graduate,Married,48,400000,5880,18368,591,13654,45363,2640,18368,591,13662,45363,2640,0,0,-8,0,0,0
Male,University,Single,30,90000,370,370,922,552,182,312,370,922,0,0,500,0,0,552,182,-188,0
Female,University,Single,29,90000,917,2917,0,3708,3503,9097,2000,0,3708,0,5693,917,0,0,3503,3404,0
Female,Graduate,Single,29,200000,61099,64160,76593,93988,50292,10510,4160,14593,20150,0,5739,60000,62000,73838,50292,4771,0
Female,Graduate,Married,38,150000,110,564,13347,13155,10610,8394,567,13504,13221,10663,8436,-3,-157,-66,-53,-42,1
Male,University,Single,31,350000,360347,357139,272072,267277,255680,261573,13100,10000,10000,8200,9000,344039,262072,257277,247480,252573,0
Male,University,Married,31,500000,378886,382234,274586,273718,168418,167635,15057,11035,11035,7029,8035,367177,263551,262683,161389,159600,0
Female,University,Single,24,160000,13038,158725,155808,98160,99057,100984,155000,5000,5000,3537,5000,3725,150808,93160,95520,95984,0
Male,Graduate,Single,35,80000,52065,55205,55900,55622,56295,61598,5000,2606,2200,2100,6679,50205,53294,53422,54195,54919,0
Male,University,Single,38,130000,133400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,High School,Single,31,100000,85030,49489,50424,51563,780,0,1820,2308,3000,780,0,47669,48116,48563,0,0,0
Male,University,Married,46,80000,30773,38879,26128,29137,30283,30523,10036,15,5003,3003,2007,28843,26113,24134,27280,28516,0
Female,University,Single,24,50000,18201,26525,12969,13758,14390,16571,14813,1000,1000,1000,3000,11712,11969,12758,13390,13571,0
Female,Graduate,Married,50,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,Graduate,Single,27,200000,0,0,0,0,1202,84482,0,0,0,1202,84482,0,0,0,0,0,0
Female,University,Single,28,330000,37637,38676,40786,41767,42501,43359,1500,2600,1500,1400,1400,37176,38186,40267,41101,41959,0
Female,Graduate,Single,26,50000,10622,11642,12635,15403,16657,16240,1500,1500,3000,1500,0,10142,11135,12403,15157,16240,1
Female,University,Single,23,80000,309,-77,-77,-270,-463,-656,0,0,0,0,0,-77,-77,-270,-463,-656,1
Female,University,Married,33,270000,11489,8874,3567,1556,7952,10794,8874,3567,1556,7952,4000,0,0,0,0,6794,0
Female,High School,Married,60,30000,11575,12351,13505,12677,12995,13443,1600,2000,0,1000,1000,10751,11505,12677,11995,12443,0
Male,University,Single,30,500000,869,2496,1924,976,986,1200,2507,1933,980,990,1206,-11,-9,-4,-4,-6,0
Female,Graduate,Single,26,60000,3437,16932,2301,6220,2227,10416,16960,0,6227,0,10416,-28,2301,-7,2227,0,0
Female,University,Married,34,20000,17151,16887,17302,18029,18362,18669,300,1000,1000,1000,1000,16587,16302,17029,17362,17669,0
Female,University,Single,28,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,University,Married,38,30000,3656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,Graduate,Married,45,200000,577,0,2470,0,1350,1006,0,2470,0,1350,1006,0,0,0,0,0,0
Female,Graduate,Single,32,320000,3916,2872,4704,3382,2575,8097,2886,4732,3398,2588,8137,-14,-28,-16,-13,-40,0
Female,High School,Married,28,210000,37608,39001,40053,41084,42416,43707,2000,2000,2000,2000,2000,37001,38053,39084,40416,41707,0
Female,Graduate,Single,30,200000,665,2618,963,1459,1028,878,2618,963,1459,1028,878,0,0,0,0,0,0
Male,University,Single,41,170000,6175,7404,7829,2218,3972,3643,7417,7862,2218,4866,3643,-13,-33,0,-894,0,0
Male,High School,Married,42,50000,47838,49246,50376,9408,9605,9806,2180,2310,336,348,360,47066,48066,9072,9257,9446,0
Female,University,Other,52,20000,8586,10041,10571,10995,11169,11979,1600,1000,600,500,1000,8441,9571,10395,10669,10979,0
Female,University,Married,22,20000,18475,18993,19973,20081,20292,20289,1400,1300,700,800,1000,17593,18673,19381,19492,19289,0
Female,Graduate,Married,31,580000,484798,475282,485511,488800,500723,511905,19000,20036,20000,20000,20056,456282,465475,468800,480723,491849,0
Female,High School,Single,25,80000,80012,78748,76722,70370,64510,51695,3010,2700,2300,2500,2000,75738,74022,68070,62010,49695,0
Female,Graduate,Married,38,50000,19926,21658,3445,99,949,137,4158,3500,1000,1000,200,17500,-55,-901,-51,-63,1
Male,University,Single,31,30000,26788,28352,86253,28351,28571,23400,2001,1600,600,1000,468,26351,84653,27751,27571,22932,0
Female,University,Married,31,50000,45614,44187,29253,14199,14965,15712,2450,2100,1000,1000,1000,41737,27153,13199,13965,14712,1
Male,High School,Single,25,20000,1650,1650,1650,1650,1650,1650,0,0,0,0,0,1650,1650,1650,1650,1650,1
Female,University,Married,41,100000,71978,73715,74621,72567,77231,78780,3500,2800,3000,6000,3000,70215,71821,69567,71231,75780,0
Male,High School,Single,48,80000,80002,80433,80081,29437,29195,28675,3500,3500,1205,1200,1100,76933,76581,28232,27995,27575,0
Female,High School,Married,48,40000,780,0,390,540,1080,540,0,390,540,1080,0,0,0,0,0,540,0
Female,High School,Married,27,80000,79108,78637,75688,46378,46175,41118,3200,0,1806,2124,1599,75437,75688,44572,44051,39519,0
Male,High School,Single,31,10000,10119,10188,9089,9271,9618,8516,3000,0,295,459,1500,7188,9089,8976,9159,7016,0
Female,Graduate,Married,41,200000,10529,1936,25483,16767,19941,19665,1940,25513,4767,7541,19665,-4,-30,12000,12400,0,0
Female,University,Other,28,50000,51068,46027,45769,46677,47668,50764,0,3154,1669,1741,3900,46027,42615,45008,45927,46864,0
Female,High School,Single,23,140000,100448,103990,104462,43810,44434,45251,5450,4200,1810,1765,2000,98540,100262,42000,42669,43251,0
Female,Graduate,Married,34,340000,76786,57803,68670,20299,27816,43637,39749,15000,12000,10000,20000,18054,53670,8299,17816,23637,0
Male,Graduate,Single,28,220000,205130,212060,225462,116915,116021,114001,9975,19254,0,8500,0,202085,206208,116915,107521,114001,1
Female,Graduate,Single,23,80000,80461,78259,66068,50748,51490,50626,37,2122,3600,1600,18,78222,63946,47148,49890,50608,1
Male,High School,Single,24,20000,12188,12904,14217,14360,16140,16287,1220,1533,676,2177,559,11684,12684,13684,13963,15728,1
Male,Graduate,Married,36,500000,25334,6834,2914,-341,38853,0,6867,2929,0,39194,0,-33,-15,-341,-341,0,0
Female,University,Married,48,100000,7828,7260,430,0,860,430,430,0,0,860,430,6830,430,0,0,0,0
Male,University,Married,39,150000,-7,4422,367,3287,0,0,4429,367,3691,0,0,-7,0,-404,0,0,0
Male,University,Single,27,360000,160317,163699,167112,170691,174289,178008,4700,4800,5000,5000,5200,158999,162312,165691,169289,172808,0
Female,University,Married,37,60000,57694,58656,59750,60602,53838,54609,2800,3000,2800,2100,2123,55856,56750,57802,51738,52486,0
Male,Graduate,Married,34,500000,1895,1086,740,0,1868,1883,1086,740,0,1868,1883,0,0,0,0,0,0
Female,Graduate,Single,27,270000,2016,1183,1307,800,4098,1181,2000,2500,0,4100,1200,-817,-1193,800,-2,-19,0
Female,University,Single,30,230000,74664,63540,66131,58430,72617,66787,3000,10000,10000,20145,11745,60540,56131,48430,52472,55042,0
Female,University,Single,33,160000,140225,140745,139923,140815,139935,138912,5211,5000,5000,5000,5000,135534,134923,135815,134935,133912,0
Male,Graduate,Single,26,20000,14554,15273,16616,16643,17372,18070,1260,1600,600,1000,1000,14013,15016,16043,16372,17070,0
Male,University,Married,34,230000,131887,133440,134272,136281,138687,118873,5005,5007,5000,5008,5000,128435,129265,131281,133679,113873,0
Female,High School,Single,23,50000,33239,33199,33757,23332,23782,16816,6010,5008,3013,5035,5001,27189,28749,20319,18747,11815,0
Female,University,Married,52,500000,7593,8660,0,30498,1174,0,8677,0,30498,1174,0,-17,0,0,0,0,0
Female,High School,Single,30,80000,71165,72123,76696,79659,80079,79657,2700,5800,4800,1800,1000,69423,70896,74859,78279,78657,0
Male,High School,Other,55,50000,45555,41372,41544,13007,16233,14952,1968,1843,434,5000,582,39404,39701,12573,11233,14370,1
Male,University,Single,29,20000,20832,20203,19946,19037,19233,14764,0,1289,491,2586,5000,20203,18657,18546,16647,9764,0
Female,Graduate,Married,40,200000,6549,9389,18475,1016,4934,7749,9421,14068,3,4948,7770,-32,4407,1013,-14,-21,0
Female,University,Married,44,100000,39000,40123,41217,42193,44722,44024,1900,1900,1800,3200,0,38223,39317,40393,41522,44024,0
Female,University,Married,44,390000,169658,173758,177722,180132,184420,188329,8000,8000,6500,7000,7200,165758,169722,173632,177420,181129,0
Male,University,Married,44,450000,3004,5938,3700,14327,14890,6687,5971,3712,14347,14903,6707,-33,-12,-20,-13,-20,0
Male,High School,Married,40,10000,7229,6968,8881,8594,8312,9241,0,2035,0,0,1069,6968,6846,8594,8312,8172,1
Male,University,Single,29,270000,18465,20987,17555,17803,1852,2044,3022,1000,2054,1857,2069,17965,16555,15749,-5,-25,0
Male,Graduate,Single,33,190000,137502,127014,120826,112211,110396,113386,6112,4202,4200,4200,5000,120902,116624,108011,106196,108386,0
Female,Graduate,Single,30,30000,32751,33804,31336,32389,33142,33999,1600,2000,1500,1200,1330,32204,29336,30889,31942,32669,0
Female,Graduate,Single,28,360000,23088,11628,8556,4578,4784,11938,12000,8598,4601,4808,11997,-372,-42,-23,-24,-59,0
Female,University,Single,28,50000,19969,27267,19833,24014,27429,29189,8000,3302,5000,6500,10000,19267,16531,19014,20929,19189,0
Female,Graduate,Married,41,240000,10839,16665,13039,9439,11378,13046,10000,3500,0,5000,5000,6665,9539,9439,6378,8046,0
Male,University,Single,26,150000,144614,146446,122634,74711,76532,76452,6700,3764,2700,3000,3000,139746,118870,72011,73532,73452,0
Male,University,Single,44,150000,143650,0,0,0,1000,0,0,0,0,1000,0,0,0,0,0,0,0
Male,University,Single,23,20000,17682,18595,19447,19312,17987,17822,1500,1500,1000,1000,1000,17095,17947,18312,16987,16822,0
Male,Graduate,Single,24,50000,390,0,672,-108,2830,0,0,672,0,2938,0,0,0,-108,-108,0,1
Female,University,Married,38,40000,38491,36881,37968,36155,36933,37666,3000,2000,1500,1500,1500,33881,35968,34655,35433,36166,0
Male,Graduate,Single,25,20000,16688,18427,17843,17259,17781,18034,2300,0,0,800,700,16127,17843,17259,16981,17334,1
Female,Graduate,Single,29,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,University,Married,48,50000,1079,7179,6478,7527,3060,1490,7651,0,7535,3060,1490,-472,6478,-8,0,0,0
Female,High School,Married,44,50000,-42,26267,26372,7490,5155,0,26309,26479,7490,5155,0,-42,-107,0,0,0,1
Male,University,Single,23,50000,2165,14796,20816,11804,1420,0,15000,20300,9500,1420,0,-204,516,2304,0,0,1
Male,High School,Single,24,50000,7198,8421,9202,9800,1000,0,1500,1000,598,1000,0,6921,8202,9202,0,0,1
Female,Graduate,Single,35,200000,75203,77949,74865,72766,70444,69003,4000,4000,5012,4000,3000,73949,70865,67754,66444,66003,0
Male,Graduate,Single,37,200000,157131,166590,168386,164182,169029,172084,13500,6000,0,7500,6000,153090,162386,164182,161529,166084,1
Female,High School,Married,38,120000,117738,120127,119719,118042,120682,120491,5820,5670,4250,4450,4470,114307,114049,113792,116232,116021,0
Male,University,Single,28,90000,18978,20675,23329,24940,24404,27227,2000,3000,2000,0,3400,18675,20329,22940,24404,23827,1
Female,Graduate,Single,24,30000,784,390,7480,0,1803,1023,390,7480,0,1803,0,0,0,0,0,1023,0
Male,Graduate,Single,29,70000,2343,14336,13155,3929,1953,967,15000,4000,4000,0,1000,-664,9155,-71,1953,-33,0
Female,University,Married,52,490000,2779,22595,755,7000,0,4341,22595,762,7000,0,4341,0,-7,0,0,0,0
Male,High School,Married,39,50000,2522,0,2866,1961,1261,2681,13196,2866,1961,1261,2681,-13196,0,0,0,0,0
Male,University,Married,55,320000,235477,216433,203354,117272,38591,28400,11000,8600,5000,1900,960,205433,194754,112272,36691,27440,0
Female,Graduate,Single,27,50000,12884,14382,13859,14032,14852,14464,2000,0,700,1200,0,12382,13859,13332,13652,14464,1
Female,Graduate,Single,25,140000,2229,15985,0,0,0,0,15980,0,0,0,0,5,0,0,0,0,1
Female,University,Single,49,500000,27891,8970,385228,391047,0,150,8982,385228,7821,0,150,-12,0,383226,0,0,0
Male,Graduate,Married,58,500000,7285,28390,13138,6653,7081,4651,28730,14587,28,7114,4672,-340,-1449,6625,-33,-21,0
Male,Graduate,Single,34,50000,48559,47008,15435,10235,9119,8237,2573,2000,500,459,500,44435,13435,9735,8660,7737,0
Male,High School,Married,31,170000,3062,112762,112880,111210,111525,112360,112000,6000,4500,4500,5000,762,106880,106710,107025,107360,0
Female,High School,Married,36,130000,23997,26733,26942,26210,27982,27383,3440,941,0,2197,0,23293,26001,26210,25785,27383,1
Female,High School,Single,27,150000,3081,7997,8710,9559,10401,11069,5000,1000,1000,1000,1000,2997,7710,8559,9401,10069,0
Female,Graduate,Single,25,50000,43875,45052,44938,40655,40930,40146,2200,2000,2000,2000,3000,42852,42938,38655,38930,37146,0
Male,Graduate,Married,48,410000,231152,238985,243779,250399,5194,-376,12000,10000,7250,5225,0,226985,233779,243149,-31,-376,0
Female,Other,Single,33,60000,52176,39107,39547,39555,40216,41039,2000,2000,1500,2000,2200,37107,37547,38055,38216,38839,0
Male,High School,Married,45,150000,29169,15000,15000,0,15000,0,1000,15000,0,15000,0,14000,0,0,0,0,0
Female,University,Married,43,260000,690,2500,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0
Male,Graduate,Married,40,230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,University,Other,49,50000,24282,23470,23297,22546,19563,20227,1500,1500,2150,0,1000,21970,21797,20396,19563,19227,0
Female,Graduate,Single,23,230000,61580,62272,1462,622,1083,622,2862,1462,622,1083,622,59410,0,0,0,0,0
Female,Graduate,Married,44,280000,235635,197003,198808,187425,177340,180506,7665,6497,5555,5027,5065,189338,192311,181870,172313,175441,0
Male,University,Single,67,500000,4410,2662,2533,1821,2498,3622,2681,2547,1826,2505,3630,-19,-14,-5,-7,-8,0
Male,University,Married,38,30000,29723,30428,26558,27265,27953,28456,2000,2000,1500,1500,1500,28428,24558,25765,26453,26956,0
Female,University,Married,31,330000,298644,297005,303257,302905,304151,299959,13000,13000,11000,11100,11000,284005,290257,291905,293051,288959,0
Male,Graduate,Married,50,180000,181624,182765,180769,141352,142078,141695,9021,6126,4856,4990,5133,173744,174643,136496,137088,136562,0
Male,University,Single,47,30000,29774,30797,29216,29681,29321,28068,1800,0,1200,1000,1046,28997,29216,28481,28321,27022,1
Male,Graduate,Single,36,200000,1801,9483,60571,57990,9568,82,9556,60025,5032,5054,5000,-73,546,52958,4514,-4918,0
Female,High School,Married,41,80000,52456,20925,15115,12465,6925,6049,11500,3000,4000,1260,6100,9425,12115,8465,5665,-51,0
Male,University,Single,25,80000,31780,33261,34703,36125,38374,39382,2000,2000,2000,3000,1800,31261,32703,34125,35374,37582,1
Female,Graduate,Single,27,100000,3904,398,931,5983,2010,1413,400,931,5983,2010,1413,-2,0,0,0,0,0
Male,Graduate,Married,54,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,Graduate,Married,58,240000,0,222,1900,0,0,5435,222,1900,0,0,5435,0,0,0,0,0,1
Female,University,Married,49,50000,12515,9115,1198,198,1198,11198,9115,1198,198,1198,11198,0,0,0,0,0,1
Female,High School,Married,50,50000,35415,38940,36319,22538,23013,23465,6960,0,1000,1000,1000,31980,36319,21538,22013,22465,0
Male,University,Married,42,100000,17565,19700,18306,18239,17053,16753,3183,0,1274,0,754,16517,18306,16965,17053,15999,0
Male,High School,Single,40,110000,84965,85007,84965,79625,79370,81134,3280,2913,2790,2851,3053,81727,82052,76835,76519,78081,0
Female,University,Married,40,180000,23820,22749,21221,18190,17919,18402,2005,2000,2004,2500,3000,20744,19221,16186,15419,15402,0
Female,University,Single,26,140000,140881,136889,140615,78486,48476,50509,8140,8000,4000,1917,3000,128749,132615,74486,46559,47509,0
Male,University,Single,28,80000,77701,19577,22033,57522,58939,60790,2000,2800,36000,2500,3000,17577,19233,21522,56439,57790,0
Female,Graduate,Single,26,90000,17018,3692,5037,5899,4129,17246,3692,5037,5899,4129,17246,0,0,0,0,0,0
Male,High School,Married,45,90000,37681,27664,18037,1696,-4,2889,1519,5035,6700,0,2893,26145,13002,-5004,-4,-4,1
Female,University,Single,41,240000,188983,190556,189914,190434,179424,183299,7106,12014,6075,5900,5900,183450,177900,184359,173524,177399,0
Male,Graduate,Married,41,150000,-200,-200,1600,5431,0,0,0,1800,5431,0,0,-200,-200,0,0,0,0
Female,Graduate,Single,33,240000,153062,156122,159998,161434,163403,167230,7000,8000,7000,6000,8000,149122,151998,154434,157403,159230,0
Male,High School,Single,34,80000,78562,56877,57761,58707,56220,60463,2100,2100,2100,2100,5500,54777,55661,56607,54120,54963,0
Female,University,Married,42,110000,28383,27653,29003,29447,27701,28285,0,2000,1000,0,1000,27653,27003,28447,27701,27285,0
Female,University,Single,39,120000,22033,24067,24372,24670,25617,26535,2400,1000,1000,1500,1500,21667,23372,23670,24117,25035,0
Female,University,Married,42,360000,18186,7954,11609,10070,5079,4086,9548,11624,10070,5079,4086,-1594,-15,0,0,0,0
Male,Other,Single,30,150000,175348,153679,110237,46972,29045,20105,9304,2921,15000,1137,600,144375,107316,31972,27908,19505,0
Male,Graduate,Married,53,80000,2783,1108,21400,21000,21000,0,1200,21000,0,0,0,-92,400,21000,21000,0,0
Male,University,Married,47,140000,192182,187720,189659,185477,189351,193122,0,6500,0,6497,6536,187720,183159,185477,182854,186586,1
Male,University,Married,40,50000,15090,16421,17144,17636,17850,18212,1577,1300,777,647,658,14844,15844,16859,17203,17554,0
Female,High School,Married,36,20000,17216,17541,18300,19100,2200,0,900,1200,1000,100,0,16641,17100,18100,2100,0,0
Female,Graduate,Married,29,240000,21409,17833,194043,194991,192800,178318,1000,194043,6530,7000,7000,16833,0,188461,185800,171318,0
Male,Graduate,Single,49,50000,47754,48648,8868,9044,9234,9418,2280,1500,323,335,337,46368,7368,8721,8899,9081,0
Male,Graduate,Married,57,380000,319243,357782,374313,371566,362232,352161,150039,30031,27403,15168,35235,207743,344282,344163,347064,316926,0
Male,University,Single,49,30000,1659,1473,390,390,390,1320,1473,390,390,390,1320,0,0,0,0,0,0
Female,University,Married,31,50000,23781,24900,25098,24396,25310,25740,1800,900,0,1310,1000,23100,24198,24396,24000,24740,0
Female,University,Married,36,160000,2511,2242,6109,2500,2689,0,2242,6745,2500,2689,0,0,-636,0,0,0,1
Male,University,Other,53,50000,49170,49446,36445,24788,24967,28652,2009,2500,1000,1500,28939,47437,33945,23788,23467,-287,0
Female,High School,Single,31,80000,34620,35759,40020,40766,39982,44621,2000,5200,1700,0,5500,33759,34820,39066,39982,39121,0
Female,University,Single,28,70000,70736,72014,72215,70779,62525,71427,3000,2200,0,3000,10000,69014,70015,70779,59525,61427,1
Male,Graduate,Single,29,200000,187889,190967,195622,126281,128702,131001,8000,8000,5000,5000,5000,182967,187622,121281,123702,126001,0
Female,High School,Married,28,100000,110946,106423,101256,48876,28468,3875,0,0,0,1603,3875,106423,101256,48876,26865,0,1
Male,University,Single,38,180000,21564,20939,22182,12382,-18,-18,0,2100,200,0,0,20939,20082,12182,-18,-18,1
Male,High School,Married,53,360000,45421,68526,47416,48811,193712,80601,68536,47427,48846,193712,80601,-10,-11,-35,0,0,0
Male,Graduate,Single,39,230000,834,-150,517,53,603,10141,0,667,0,700,10200,-150,-150,53,-97,-59,0
